school_key,מוסד,מועצה,מין,גיוס,לחימה,קצונה,משמעותי,Unnamed: 8,המידע המוצג הינו מתוך מערכת מוסדות וערים שממנה יוצאים כל שנה נתונים אחרי אישור של לשכת רחט,פיקוח,מגזר,מחוז,רשות,ישוב,סוג מוסד,שלב חינוך במוסד,תלמידים_בנים,תלמידים_בנות,תלמידים,קבוצה,תלמידים_יב
540849,ישיבה תיכונית,בני ברק,ז,90.32,43.64,9.68,90.91,,,ממלכתי דתי,יהודי,תל אביב,בני ברק,בני ברק,ישיבה תיכונית,"חט""ב + עליונה",73.0,0.0,73.0,דתי לאומי - מרכז,73.0
540476,ישיבת הרב עמיאל,תלאביב יפו,ז,24.32,0.0,0.0,20.0,,,חרדי,יהודי,תל אביב,תל אביב-יפו,תל אביב - יפו,ישיבה תיכונית,עליונה בלבד,55.0,0.0,55.0,חרדי - ערים מעורבות,55.0
540963,ישיבת אמרי אמת,בני ברק,ז,0.0,0.0,0.0,100.0,,,חרדי,יהודי,תל אביב,בני ברק,בני ברק,ישיבה קטנה,עליונה בלבד,51.0,0.0,51.0,חרדי - ערי חרדים,51.0
370155,"נווה יש""ר ימין אורד",ניר עציון,ז,92.45,61.22,2.78,93.88,,,ממלכתי דתי,יהודי,חיפה,חוף הכרמל,ניר עציון,"בי""ס חקלאי",עליונה בלבד,55.0,42.0,97.0,דתי לאומי - פריפריה/כפרי,55.0
640169,דרכי משה,אשדוד,ז,1.43,0.0,0.0,100.0,,,חרדי,יהודי,דרום,אשדוד,אשדוד,בית ספר,עליונה בלבד,55.0,0.0,55.0,חרדי - ערים מעורבות,55.0
442376,אמית מדעי תורני כפר בתיה,רעננה,ז,94.29,46.94,13.98,83.67999999999999,,,ממלכתי דתי,יהודי,מרכז,רעננה,רעננה,בית ספר,"חט""ב + עליונה",124.0,0.0,124.0,דתי לאומי - מרכז,124.0
644450,מקיף ה דרכא,אשקלון,ז,83.84,37.35,4.35,86.75,,,ממלכתי,יהודי,דרום,אשקלון,אשקלון,בית ספר,"חט""ב + עליונה",99.0,105.0,204.0,חילוני - ערי פריפריה,99.0
160242,מקיף קשת,ירושלים,ז,78.95,53.57,10.0,100.0,,,ממלכתי,יהודי,ירושלים,ירושלים,ירושלים,בית ספר,"חט""ב + עליונה",41.0,39.0,80.0,חילוני - ירושלים,41.0
140269,מקיף דנמרק,ירושלים,ז,94.23,52.17,0.0,86.95,,,ממלכתי,יהודי,ירושלים,ירושלים,ירושלים,בית ספר,עליונה בלבד,47.0,37.0,84.0,חילוני - ירושלים,47.0
141309,עירוני פסגת זאב,ירושלים,ז,93.33,58.93,3.64,85.71000000000001,,,ממלכתי,יהודי,ירושלים,ירושלים,ירושלים,בית ספר,"חט""ב + עליונה",67.0,63.0,130.0,חילוני - ירושלים,67.0
